X,data1,data1l,data1u,data2,data2l,data2u,data3,data3l,data3u,data4,data4l,data4u,data5,data5l,data5u,data6,data6l,data6u,data7,data7l,data7u,data8,data8l,data8u,data9,data9l,data9u,data10,data10l,data10u,data11,data11l,data11u,data12,data12l,data12u
11.0,0.11388674784391692,-0.22827659872393266,0.527039007836987,1.2347354806294388,0.7596872425468795,1.6759288410983586,2.186718886089306,1.9060061202072123,2.5435026974614487,3.7288520575145148,3.6093455399503305,3.8800648281124213,0.3081524969366041,0.00039909478462996084,0.6704634826885382,1.3961968067092356,1.1511558592164068,1.618496217884085,2.297976702152797,2.105488876180614,2.40918638838647,3.065055591797527,2.6941196514342836,3.4086856830647667,0.3311645526838955,0.14729624004438507,0.48666070308323583,1.0309973789770883,0.8285901621662443,1.1842866802886798,2.026093048144728,1.6047320376393812,2.4056216370229517,3.133674844940768,2.7614994196937706,3.5036310691238897
12.0,0.0369264597141377,-0.3794328141369975,0.3862674220055788,1.2575203396908308,0.7714479355273142,1.7320993779941274,2.2172557819563656,1.9363369109103876,2.5432857774819326,3.7315305957658857,3.534875325572465,3.9194881757545517,0.2809224597251761,-0.013318439504213908,0.6225850613309789,1.4107971211418076,1.1494754553187623,1.6486874691149567,2.2630742002144264,2.0845155133855173,2.3793318519478897,3.0848510134211318,2.723823159368984,3.500996249020202,0.3236577776372028,0.16647162559527978,0.5167119701796308,1.040355717171808,0.8772575630596984,1.240908658353281,2.0664969230766226,1.6766931948072767,2.485755857933871,3.048425883225952,2.6317108755850187,3.4568757028708097
13.0,0.08371241951055386,-0.30812762643114633,0.463785763961843,1.2008434853812895,0.7404709181827612,1.6481606965525049,2.195717250034758,1.8656170637825098,2.5066550307507645,3.710019380944666,3.555748934371974,3.8913809062254496,0.2382217259526548,-0.032642674808086775,0.541957694477145,1.3454298833359912,1.0879239639749594,1.630074723230818,2.2335180694513648,2.0519907932165258,2.3680465422682895,3.0717377609065366,2.66745471386865,3.452582123671531,0.26242866432098977,0.09198197476204709,0.47073714757327945,1.017992468912323,0.852487654506669,1.196062616000202,2.0203774058023716,1.6164693205632021,2.3968185543823357,3.0818150042137513,2.6490839818663683,3.5291638367372546
14.0,0.032106717939229305,-0.40136787775596366,0.46002315466679494,1.175894015823455,0.7430341457134313,1.5914530556063342,2.1636007384358567,1.868004058937117,2.457307058424174,3.640821414883359,3.4891070862935756,3.8218661944430474,0.2510873999643461,-0.022627325936084852,0.6144493646386744,1.3565257674988,1.1418496718222402,1.573476183123279,2.240170351063933,2.0948850629065325,2.4314199878486265,3.074585201359359,2.6933534642858126,3.434516130576188,0.2607398336148999,0.13089487424567434,0.4807898331763149,1.0477830478741312,0.8785190955739488,1.2640825662777477,2.07053476156253,1.653968813919529,2.518286624570113,3.02733233353185,2.631508456116476,3.485596862708668
15.0,0.08105789212633946,-0.2661145311615604,0.468852099416833,1.2144215270047798,0.7643698675267139,1.6412376271780877,2.128950541370857,1.8219592977256869,2.4797879381255634,3.6276904661728073,3.5016919956202024,3.8173174511652124,0.19397727676378002,-0.17545159890022805,0.49683497823734785,1.2988341680417992,1.0083713222113866,1.5405819866335715,2.204864304873391,2.09260207175443,2.3539273235813916,3.055784852663515,2.7263411022966437,3.392115205206576,0.23283411379651617,0.08156926650611915,0.3783284847373074,1.0062899800916316,0.7973810807056817,1.208907793208641,2.0314135526583157,1.6156586791032872,2.4265460800598864,3.027507256037811,2.646406953132064,3.421054995077074
16.0,0.050232624230484545,-0.3744632773462462,0.48205899121006546,1.1773168818606385,0.7574434268200356,1.631981374213287,2.1612646723949855,1.8754058435100798,2.4941607354178563,3.6500457541213205,3.5262562193860263,3.802373913145197,0.20380715514314984,-0.09113080733985973,0.5062267716166757,1.2949984585402126,1.019151805120564,1.5643392447947835,2.201471510449957,2.0259244559719987,2.3353806437017903,3.0633279690806594,2.693947810749663,3.4481343348892546,0.2123520439203291,0.08833326550883792,0.4114063049567719,1.030541819369168,0.86413049192666,1.2376761071397755,2.0319913701719354,1.656991922882285,2.438129653242121,3.0265411345219113,2.6200372847697593,3.4258858219556907
17.0,0.02656770893019987,-0.32066546556200265,0.44372359431957953,1.1593641064868865,0.6843862786263494,1.5708877303856812,2.1594827299167596,1.8147895523881779,2.4491813481275186,3.6324406681977224,3.467748528754526,3.756816798473865,0.18476139494220079,-0.08974487932558284,0.45815737865961925,1.2726651114621168,1.0533231874383664,1.5101826922767736,2.228362317881077,2.0256449329040835,2.388357211950904,3.0666340332546054,2.7158194040830206,3.434285444577925,0.2552442122058787,0.12008014211044937,0.41410305018011867,0.9859782128831464,0.7947390216742595,1.148455578878315,2.0465690810608907,1.6490448430369093,2.4478681014580843,3.0885045189440183,2.687868495590782,3.513489549394343
18.0,0.032693863322194004,-0.3423013081737109,0.46479043294886296,1.1823231352467538,0.7680918696129005,1.5809203365807682,2.1048811036651656,1.7509553220780678,2.3863641642332167,3.5775170986510316,3.408175193541954,3.771777989218023,0.13633756270442454,-0.19668693040488405,0.47685188611958484,1.2514472687982812,1.0359632106097774,1.540403931392468,2.182460891828026,2.0100803250419066,2.3219875306752917,3.085240052339608,2.6973809642939957,3.425407007723117,0.23146504435409615,0.06387590575458399,0.35842555108578356,0.9821098457864087,0.7717085341684236,1.1287472720980094,2.0357168902544776,1.6511138676035286,2.429786844618122,3.0593074277888532,2.65022836101908,3.457384032847148
19.0,-0.0020684638410668685,-0.38566251065134255,0.3512360106793162,1.1082575621874635,0.6533143518164378,1.5488701000948233,2.1400004814377795,1.8582440075088078,2.4210196255256378,3.594462200806182,3.430126100379408,3.7414819955144556,0.14862447004467397,-0.17696314882287442,0.42984814186818965,1.280386372173841,1.0585911584741634,1.514285471251683,2.1872465241456984,2.0573365506704087,2.3245589117224696,3.0470086637072535,2.6347561943441242,3.3834333708292155,0.2112458857026547,0.08283982382471683,0.35948123660130826,1.02084206345012,0.796819173227131,1.1904795370279952,2.048294040253546,1.5994625242712965,2.445762461068314,3.053617448813037,2.60057105915686,3.503828897371292
20.0,0.0028063253697529107,-0.43436405632414654,0.3507267895183085,1.1489948914889807,0.6981815830587026,1.6224380241472693,2.1070876479987577,1.7869281430998112,2.4664708555062314,3.53566760410218,3.361887590154592,3.717311411859992,0.1571585575812995,-0.1521501084688794,0.4324492963736728,1.230622871150656,0.9851397587800642,1.4940644792549407,2.1497216798718366,1.9895434113447297,2.2760466264298302,3.034425346981296,2.631774129298682,3.409718877125071,0.22643098258836694,0.07393200324441843,0.3625086047762431,1.0035932962068825,0.8027061512304872,1.1383434268462873,1.9878129314474264,1.5739809306727344,2.4304547161447223,3.0033247770735474,2.579926473313497,3.4423077687809145
